Taxon	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
seq4 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	0.0683	0.0474	0.0424	0.0586	0.0402	0.0199	0.0672	0.0508	0.0618	0.047	0.0462	0.0748	0.068	0.0539	0.0566	0.056
seq227 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq128 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	1e-06	0.0001	1e-06	0.0005	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06
seq190 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq89 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0015	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq77 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0021	1e-06	1e-06	1e-06	1e-06	1e-06
seq2 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	0.3317	0.2466	0.2436	0.2974	0.2161	0.1208	0.2775	0.3083	0.3071	0.3739	0.2776	0.262	0.3438	0.2589	0.2987	0.2808
seq52 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	0.0014	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0012	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq144 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	1e-06	0.0002	1e-06	0.0003	1e-06	1e-06	1e-06	0.0002	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq108 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0014	1e-06	1e-06	1e-06	1e-06	1e-06
seq51 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	0.0005	1e-06	1e-06	0.0008	1e-06	0.0004	1e-06	0.0004	1e-06	1e-06	1e-06	0.0003	1e-06	1e-06	1e-06	0.0002
seq50 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	1e-06	0.0005	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0006	0.0007	0.0003	0.0005	0.0004	1e-06	1e-06
seq240 Nocardiaceae;Rhodococcus;erythropolis-qingshengii-sp5959	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0004	1e-06	1e-06	1e-06
